cwp_1a_kw,cwp_1a_disc_p,ret_cw_flow,cwp_1b_kw,cwp_1a_ndex
1089.31,2.5499,28970.3,1067.65,0.573323
1089.92,2.5925,29055.2,1068.55,0.584597
1089.98,2.57635,29071.2,1067.96,0.543314
1089.78,2.56192,27267.6,1067.53,0.569087
1087.7,2.54567,29032.8,1068.59,0.587445
1087.49,2.54765,29356.6,1070.15,0.577815
1088.48,2.55329,29544.6,1070.13,0.591355
1087.47,2.56592,29289.1,1068.68,0.584736
1088.46,2.56468,29407.7,1069.37,0.602965
1088.6,2.56144,28528.2,1069.13,0.577268
1088.5,2.54872,28380.5,1069.73,0.57975
1088.22,2.53241,28684.2,1068.53,0.625545
1088.73,2.54912,28376.2,1069.11,0.617877
1089.88,2.55269,28078.6,1069.94,0.640269
1088.8,2.55175,28532.5,1068.61,0.612003
1090.16,2.57793,28449.8,1070.25,0.585325
1089.45,2.59851,28743.5,1068.06,0.539059
1090.09,2.56699,28238.5,1067.64,0.56175
1089.13,2.54715,27742,1069.35,0.547555
1088.28,2.5325,27762.8,1068.47,0.595334
1089.81,2.53122,28864.3,1070.05,0.612135
1089.99,2.56131,28376.7,1070.32,0.608274
1088.66,2.58234,28396.5,1068.82,0.594193
1089.23,2.57693,28986.2,1067.05,0.551738
1088.69,2.54644,28472.9,1067.32,0.553192
1088.79,2.54763,30000,1068.85,0.539467
1088.41,2.54674,28375.7,1068.89,0.554215
1087.76,2.54316,28140.1,1068.17,0.535915
1089.15,2.54728,27595.7,1069.7,0.527653
1088.27,2.55988,29292.7,1069.79,0.547395
1088.06,2.55238,29240.9,1068.29,0.58344
1088.82,2.55224,29262.8,1069.62,0.552837
1089.2,2.55235,28515.5,1069.57,0.568539
1089.09,2.55117,29027.5,1069.62,0.593597
1089.06,2.5452,28354.5,1069.59,0.606493
1089.77,2.52956,28080.2,1069.79,0.617687
1089.93,2.54223,28693.1,1069.9,0.596774
1089.99,2.57704,28730,1069.47,0.615416
1090.33,2.59737,27272.4,1069.81,0.590257
1089.71,2.58075,28520.6,1067.48,0.57215
1088.96,2.55056,28662.9,1067.33,0.558984
1089.08,2.53762,28911.2,1069.92,0.56345
1089.17,2.52882,29392.6,1069.65,0.597454
1090.25,2.5816,28584.6,1070.49,0.593004
1089.57,2.55801,27435.5,1069.77,0.591417
1089.9,2.56576,28939.9,1069.69,0.57304
1087.28,2.56336,29136.2,1068.75,0.596314
1086.57,2.54422,29154,1068.31,0.557328
1088.13,2.56173,29483.6,1069.8,0.586408
1088.01,2.56351,29483.9,1069.46,0.557904
1088.71,2.55205,29366.9,1070.08,0.60363
1088.31,2.54726,28266.4,1069.81,0.644236
1088.16,2.54421,28287.7,1070.27,0.609984
1089.34,2.56849,28066.7,1069.62,0.611877
1089.33,2.55709,28300.4,1069.79,0.619018
1089.29,2.53773,28321.8,1070.04,0.62372
1088.26,2.5446,27928.9,1069.81,0.621976
1089.6,2.57641,28260.1,1069.96,0.609438
1090.48,2.59549,28936.7,1070.37,0.594604
1089.91,2.57139,28143.7,1067.72,0.577448
1089.19,2.54304,27347.5,1069.93,0.568495
1088.51,2.52869,28901.3,1068.03,0.590144
1089.9,2.53129,28407.7,1070.87,0.587112
1092.19,2.58313,28137.1,1072.56,0.595239
1088.93,2.58484,29792.8,1067.41,0.554778
1090.05,2.5598,29514.4,1068.14,0.570185
1087.72,2.56446,28853,1069.22,0.618143
1088.49,2.57524,28722.6,1069.91,0.585163
1088.01,2.5799,28355.1,1069.11,0.588307
1088.5,2.57328,28990.2,1069.78,0.576234
1089.57,2.56791,28675.6,1070.91,0.58315
1088.78,2.56425,28255.3,1070.37,0.598893
1088.24,2.55766,28499.9,1070.03,0.587428
1088.32,2.55121,28358.9,1070.51,0.592712
1089.32,2.54476,28830.6,1071.25,0.651963
1088.65,2.55289,28795.2,1070.62,0.611223
1088.99,2.58544,28502.1,1070.8,0.598294
1089.99,2.5967,28105.5,1070.77,0.596433
1088.77,2.55672,27954.9,1069.48,0.555211
1087.78,2.53874,28383.3,1069.87,0.59398
1087.35,2.5442,29465.9,1069.78,0.630195
1088.15,2.53661,28274.9,1071.03,0.614454
1089.6,2.57875,27595.1,1072.1,0.60226
