CW PUMP 1A WATT METER,CW PUMP 1A DISCH PRESS,RETURN CW FLOW,CW PUMP 1B WATT METER,CWP-1A MOTOR NDE-BRG VIB Y-AXIS
1088.15,2.53661,28274.9,1071.03,0.563235
1089.6,2.57875,27595.1,1072.1,0.552371
1088.8,2.57012,28194.4,1069.79,0.514897
1088.06,2.53132,27110,1069.22,0.546297
1088.47,2.5275,30000,1069.59,0.582882
1087.81,2.52654,28706,1068.9,0.581652
1087.35,2.56656,28772.9,1069.37,0.588137
1088.05,2.58395,29519.3,1070.22,0.581763
1088.54,2.58196,29389.6,1070.87,0.530824
1087.7,2.5697,29429.1,1068.8,0.526616
1088.31,2.56005,29233.9,1069.48,0.514619
1087.79,2.55775,28857.2,1068.78,0.526763
1089.52,2.55738,29112.1,1069.68,0.507063
1087.81,2.55293,28793.6,1068.37,0.50775
1088.24,2.52723,29005.7,1069.5,0.561242
1088.58,2.53917,29251.5,1071.04,0.552127
1087.75,2.57825,28840.2,1070.38,0.523104
1088.54,2.58547,28955.7,1069.6,0.535052
1088.57,2.56125,28662.9,1068.15,0.517395
1087.32,2.53394,28749.4,1069.02,0.544613
1087.52,2.529,28513.9,1068.39,0.556995
1088.2,2.53417,29026.3,1070.79,0.523113
1088.74,2.57592,28997.9,1069.17,0.531787
1087.97,2.58807,29054.1,1069.76,0.515808
1087.04,2.52791,29566.5,1069.45,0.521905
1088.61,2.58266,29688.5,1070.19,0.559646
1088.52,2.56099,29563.4,1070.04,0.556977
1087.54,2.53792,29429.5,1069.37,0.571881
1086.71,2.53532,29613.1,1068.55,0.557944
1087.32,2.53505,27321.3,1069.28,0.592343
1086.7,2.53416,27194.6,1069.22,0.566089
1087.91,2.54103,27694.4,1070.18,0.563874
1086.85,2.53735,28018.5,1068.18,0.554147
1087.36,2.53868,28217.4,1068.74,0.56525
1087.38,2.54142,27864.2,1068.99,0.570215
1088.2,2.54288,28156.6,1069.57,0.556473
1088.21,2.54465,28540.9,1069.4,0.564965
1087.11,2.54466,28273.3,1068.59,0.561983
1088.84,2.54186,28397,1070.23,0.574575
1088.66,2.53621,28480.6,1070.22,0.573986
1089.82,2.57902,28762.7,1069.44,0.568248
1090.16,2.59265,28775,1070.71,0.535322
1089.07,2.56547,28345.6,1068.21,0.528574
1087.54,2.54313,28322.4,1068.11,0.530687
1087.55,2.53639,28272.4,1068.35,0.580181
1087.94,2.53052,28204.4,1069.34,0.564098
1090.2,2.57813,28589.7,1071.11,0.54524
1088.69,2.58898,28808.7,1068.86,0.550297
1088.04,2.56747,28844.1,1067.01,0.533685
1087.54,2.54953,28762.1,1066.97,0.513811
1088.45,2.54541,28717.8,1069.91,0.542714
1087.97,2.53729,28986.8,1069.4,0.569799
1086.51,2.53081,28399.5,1068.38,0.557914
1086.84,2.53742,28684.1,1068.7,0.549149
1087.84,2.54264,28489.6,1070.17,0.591773
1088.74,2.54771,28382.4,1069.69,0.555789
1087.8,2.55714,28302.6,1069.21,0.540183
1088.74,2.55363,28445.6,1069.66,0.517926
1088.1,2.54032,28079.2,1069.15,0.557889
1088.29,2.5343,28074.8,1070,0.562793
1088.14,2.5299,27814.9,1069.41,0.543903
1088.44,2.53057,27867.3,1069.4,0.573626
1088.97,2.55,28190.6,1070.44,0.530683
1088.19,2.53361,28353.9,1069.89,0.558146
1088.58,2.58231,28417.7,1069.37,0.55876
1089.36,2.59033,28343.4,1070.7,0.572808
1088.54,2.56199,28283.3,1070.56,0.54902
1088.59,2.55304,27995.2,1070.12,0.549269
1088.37,2.54759,28124.4,1068.75,0.538542
1088.78,2.5236,28319.8,1069.74,0.56055
1089.91,2.5789,28385.6,1070,0.556199
1089.29,2.57601,28125.4,1070,0.544518
1089.73,2.577,28972.4,1071.28,0.527385
1087.48,2.56711,29241.3,1068.75,0.514765
1088.74,2.55752,28778.9,1070.04,0.515285
1089.67,2.55611,29136.7,1070.17,0.553632
1088.31,2.55342,29177,1069.1,0.583409
